reference,name,description,synonyms,legislation-urls,notes,entry-date,start-date,end-date
extraction-oil-gas,Development relating to the onshore extraction of oil and gas,"An application for planning permission for the onshore extraction of oil and gas onshore, including exploration, appraisal, and production activities. This covers drilling wells, installing associated infrastructure, and any related development required for the extraction process.",,,https://www.legislation.gov.uk/ukpga/1990/8/contents;https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fassets.publishing.service.gov.uk%2Fmedia%2F5a7ca4fded915d6969f46560%2FOnshore_UK_oil_and_gas_exploration_all_countries_Dec13.pptx&wdOrigin=BROWSELINK;https://www.legislation.gov.uk/ukpga/1991/34/contents;https://www.legislation.gov.uk/ukpga/1995/25/contents;https://www.legislation.gov.uk/ukpga/1998/17/contents;https://www.legislation.gov.uk/ukpga/1976/76/contents;https://www.legislation.gov.uk/uksi/1995/1436/contents/made,A form of full planning,2025-01-07,,
hedgerow-removal,Hedgerow removal notice,"An application for anyone proposing to remove a hedgerow, or part of a hedgerow",,https://www.legislation.gov.uk/uksi/1997/1160/regulation/5/made,,2025-01-07,,
notice-trees-in-con-area,Notification of proposed works to trees in a conservation area,"Notification, 6 weeks prior to works being carried out, of proposed works to a tree in a conservation area that is not subject to a Tree Preservation order",,https://www.legislation.gov.uk/ukpga/1990/8/section/211,,2025-02-12,,
waste-dev,Waste development,"An application which involves the use of land for waste management activities like storage, treatment, or disposal",,https://www.legislation.gov.uk/ukpga/1990/8/section/62,this type of application is made via a detailed planning application form,2025-09-08,,
land-drainage-consent,Land Drainage Consent,"Land drainage consent is required for works affecting the flow of water in an ordinary watercourse, such as a stream, ditch, or culvert, to ensure they don't negatively impact flood risk or the environment. This consent, often granted by the Lead Local Flood Authority (LLFA), is needed for both permanent and temporary works, including alterations to culverts, weirs, or other obstructions.",,https://www.legislation.gov.uk/ukpga/1991/59/section/23,,2025-09-08,,
footpath-diversion,Footpath diversion,"The diversion or stopping up of public footpaths, bridleways, or restricted byways when it is necessary to facilitate development in accordance with planning permission.",,https://www.legislation.gov.uk/ukpga/1990/8/section/257,,2025-09-08,,
cert-alt-appropriate-dev,Certificate of alternative appropriate development,"This enables the claimant under a compulsory purchase scheme to request that their local planning authority review their site and consider what development could have occurred in a ‘no scheme world’.",CAAD,"https://www.legislation.gov.uk/ukpga/Eliz2/9-10/33/section/17#:~:text=%5BF117%20Certificates%20of%20appropriate,%E2%80%9Crelevant%20planning%20date%E2%80%9D%20is%E2%80%94",,2025-09-08,,	
overhead-lines,Circular 14/90 Overhead lines,Consent required to install or maintain overhead electric lines,,https://www.legislation.gov.uk/ukpga/1989/29/section/37,,2025-09-09,,
nsips,Nationally Significant Infrastructure Projects (NSIPs),Nationally Significant Infrastructure Projects are large-scale projects which require consent from the Secretary of State.,DCO,https://www.legislation.gov.uk/ukpga/2008/29/part/3,,2025-09-09,,
mod-construction-hours,Modification of conditions relating to construction working hours,Application for modification of conditions relating to construction working hours,,https://www.legislation.gov.uk/ukpga/1990/8/section/74B/2022-08-01,,2025-09-09,,
extend-duration-permission,Additional environmental approval to extend the duration of a planning permission,"If the original planning permission was subject to an EIA or HRA, and the applicant is seeking an extension to the time limit for implementation, the application for Additional Environmental Approval is required.",,https://www.legislation.gov.uk/ukpga/2020/16/section/17,,2025-09-09,,
mineral-extraction,Mineral extraction or associated development,"Planning permission is generally required for mineral extraction and associated development from the local Mineral Planning Authority (MPA)",,https://www.legislation.gov.uk/ukpga/1981/36/enacted;https://www.legislation.gov.uk/ukpga/1995/25/contents,,2025-09-09,,
mod-discharge-s106,Modification or discharge of a Section 106 planning obligation,"A Section 106 planning obligation, which is a legal agreement between a local planning authority and a developer, can be modified or discharged through agreement between the parties involved or, if no agreement can be reached, by application to the local planning authority.",,https://www.legislation.gov.uk/ukpga/1990/8/section/106A,,2025-09-10,,
twao,Transport and works act order,"A TWAO is a statutory instrument made by the Secretary of State under the Transport and Works Act 1992. A TWAO can authorise the construction, operation and maintenance of new transport infrastructure.",,https://www.legislation.gov.uk/ukpga/1992/42/contents,,2025-09-10,,
change-of-use,Change of use planning application,"A change of use planning application is required when there's a significant alteration in how a property is used, moving it from one 'use class' to another as defined in the Use Classes Order. Most changes of use require permission, but some are permitted under specific circumstances. The need for an application depends on whether the change is considered 'material' and the specific regulations from each LPA.",,https://www.legislation.gov.uk/ukpga/1990/8/part/III/crossheading/meaning-of-development;https://www.legislation.gov.uk/uksi/2020/757,,2025-09-10,,
reg-3,Regulation 3 planning application,"Regulation 3 of the Town and Country Planning General Regulations 1992 allows a local planning authority to grant planning permission for its own development, essentially acting as both the applicant and the decision-maker. This means a council can approve development projects on land they own, even if it might otherwise be restricted.",,https://www.legislation.gov.uk/uksi/1992/1492/regulation/3/made,"While Reg 3 is a seperate type of application, they are currently dealt with via a tick box at the beginning of the application form, rather than a seperate or different application form",2025-09-10,,
reg-4,Regulation 4 planning application,"Where a planning authority applies for permission to develop land they own or have an interest in, but do not intend to develop themselves. In such cases, Regulation 4 dictates that the application is determined by the authority itself, unless the Secretary of State decides to take over the determination.",,https://www.legislation.gov.uk/uksi/1992/1492/regulation/4/made,"While Reg 4 is a seperate type of application, they are currently dealt with via a tick box at the beginning of the application form, rather than a seperate or different application form",2025-09-10,,
mineral-app,Mineral planning applications,"A mineral planning application is a request for permission to extract minerals or carry out related development.",,https://www.legislation.gov.uk/ukpga/1995/25/schedule/14/crossheading/application-to-determine-the-conditions-to-which-the-mineral-permissions-relating-to-a-mining-site-are-to-be-subject,,2025-09-10,,
technical-details-consent,Technical Details Consent,"Technical Details Consent (TDC) is the second stage of the 'Permission in Principle' (PiP) process in planning, primarily for housing-led development. It follows the initial 'Permission in Principle' stage, which establishes whether a site is suitable in principle for development. TDC assesses the detailed design, layout, and other technical aspects of the proposed development.",,https://www.legislation.gov.uk/uksi/2015/596/article/7,"Technical details consent accompanies permission in principle, and has the same requirements as an application for full planning permission. Therefore technical details consent is submitted using the full application form, where there is a field which allows the applicant to provide reference to the original permission in principle application. Where this is filled in, the officer will be able to infer that the application is therefore a technical details consent. Technical details consent should be captured separately from full planning permission, and we should ensure that it can be linked to the permission in principle application.",2025-09-10,,
romp,Review of mineral permission (ROMP),"The ROMP review is an important piece of legislation allowing MPAs to update older mineral planning permissions to bring them into line with modern standards of environmental protection and planning control, and to impose modern restoration and aftercare conditions.",ROMP,https://www.legislation.gov.uk/ukpga/1995/25/schedule/14/crossheading/application-to-determine-the-conditions-to-which-the-mineral-permissions-relating-to-a-mining-site-are-to-be-subject,,2025-09-10,,
haz-substance-consent,Hazardous Substances Consent,"Hazardous Substance Consent is required when substances on a site are at, or in excess of the 'controlled quantity' as set out in the Planning (Hazardous Substances) Regulations 2015.",,https://www.legislation.gov.uk/uksi/2015/627/contents,,2025-09-10,,
psi-app,Public Service Infrastructure applications,"Public Service Infrastructure (PSI) applications in planning refer to proposals for major developments related to essential public services like schools, hospitals, and criminal justice accommodation. These applications are subject to specific regulations and accelerated decision-making timelines to ensure timely delivery of these crucial public services.",psi,https://www.legislation.gov.uk/uksi/2021/746/made,"Currently handled with a checkbox in the full application form",2025-09-10,,
