reference,name,description,synonyms,document-type,source,notes,entry-date,end-date
elevation-existing,Elevation - existing,What a building or structure currently looks like from the outside at a scale of 1:50 or 1:100,,Plans and drawings,"Article 7, Town and Country Planning (Development Management Procedure) (England) Order 2015 (as amended)",general requirement,,
elevation-proposed,Elevation - proposed,Showing how the building will look after work has been carried out at a scale of 1:50 or 1:100,,Plans and drawings,"Article 7, Town and Country Planning (Development Management Procedure) (England) Order 2015 (as amended)",general requirement,,
energy-statement,Energy statement,A detailed report about how a planned development will meet the energy efficiency standards set by the local planning authority,,,,,,
eia,Environmental Impact Assessment (EIA),,,,,Required if the site exceeds certain thresholds or is near sensitive areas re onshore extraction of oil and gas,,2025-03-27
environmental-statement,Environmental Statement,A statement setting out an assessment of the likely environmental effects of the proposed development - this is only required if the local planning authority deem the application to have environmental impacts after the Environmental Impact Assessment has been assessed,,,"National Planning Policy Framework (NPPF), para 44 National Planning Practice Guidance (NPPG), paras 010 (Reference ID: 4-010-20170728), 034 (Reference ID: 4-034-20170728) and 035 (Reference ID: 4-035-20170728) Town and Country Planning (Environmental lmpact Assessment) Regulations 2017",Required by Development relating to the onshore extraction of oil and gas applications,,
flood-risk-assessment,Flood risk assessment,"An assessment of flood risk that needs to be completed if the proposed development is within a flood risk zone to show the potential impacts of the development on flooding and propose mitigation, such as SuDs",,,"NPPF (2026), DM2: Information requirements; NPPF (2026), Annex C: Information requirements; NPPF (2026), F4: Assessing flood risk for decision-making",,,
floor-plan-existing,Floor plan - existing,"Floor plans showing the building as it is now, usually at a scale of 1:100, but can be 1:50 if done to maintain consistency from the elevation drawings",,Plans and drawings,,general requirement,,
floor-plan-proposed,Floor plan - proposed,"Floor plans showing the proposed changes to the building, usually at a scale of 1:100, but can be 1:50 if done to maintain consistency from the elevation drawings",,Plans and drawings,"Article 7, Town and Country Planning (Development Management Procedure) (England) Order 2015 (as amended)",general requirement,,
heritage-impact-assessment,Heritage impact assessment,If the site is close to a heritage asset or conservation area a report is needed to assess the effect of the proposed development on the significance of the heritage,,,,Consolidated into heritage-statement following review,,2026-09-09
heritage-statement,Heritage statement,"A statement describing the heritage assets affected by a proposal, their significance including the contribution of their setting, the proposed works and the potential effects on that significance.",Heritage impact assessment,,"NPPF (2026), DM2: Information requirements; NPPF (2026), Annex C: Information requirements; NPPF (2026), HE5: Assessing effects on heritage assets",,,
hydrocarbon-licence,Hydrocarbon Licence,Proof of exploration rights from North Sea Transition Authority (NSTA),,,,,,
land-contamination-assessment,Land contamination assessment,"An assessment of potential or known land contamination, including relevant site history, ground conditions and site investigation findings, the nature and extent of contamination, risks to people and the environment and any further investigation, remediation or mitigation needed to make the site suitable for the proposed use.",Contaminated land assessment;Site investigation report (contamination);Phase 1 investigation (contamination);Phase 2 site investigation (contamination),,"National Planning Policy Framework (NPPF), paras 196 to 201",Needed if the site is known or suspected to be contaminated.,,
landscaping-plan,Landscaping plan,"A plan of a site considering both soft-landscaping (natural elements like flowers, trees, and grass) as well as hard-landscaping (man-made features like lawn furniture, fountains, and sheds)",,,,,,
lighting-assessment,Lighting assessment,A lighting assessment is required for all applications that include use of floodlighting or a significant amount of external lighting,,,,,,
location-plan,Location plan,"A location plan that shows the site outlined clearly in red in relation to the surrounding area, at a scale of 1:1250 or 1:2500, showing at least 2 named roads and surrounding land and buildings. A blue line must be drawn around any other land owned by the applicant close to or adjoining the application site",,Plans and drawings,"Article 7, Town and Country Planning (Development Management Procedure) (England) Order 2015 (as amended)",general requirement,,
noise-and-traffic-assessment,Noise and Traffic Assessment,Evaluates operational impact on surrounding communities,,,,,,2025-03-27
noise-assessment,Noise assessment,"A report assessing existing noise affecting the proposed development and noise generated by it, including vibration where relevant, effects on future occupiers and surrounding properties and any measures needed to avoid or reduce adverse impacts.",Acoustic report;Noise impact assessment,,"National Planning Policy Framework (NPPF), paras 187 and 198",,2025-04-25,
photos,Site photographs,Pictures to show the existing context and condition of the site and surrounding area,,,"Section 3A, The Planning (Listed Buildings and Conservation Areas) Regulations 1990",,,
planning-statement,Planning statement,"The statement identifies the context and need for a proposed development, and assesses how the development is in accordance with the relevant national and local policies",,,"NPPF (2026), DM2: Information requirements; NPPF (2026), Annex C: Information requirements; NPPF (2026), DM1: Preparing development proposals",,,
roof-plan-existing,Roof plan - existing,Drawing showing the roof as it is now,,Plans and drawings,"Article 7, Town and Country Planning (Development Management Procedure) (England) Order 2015 (as amended) Section 3A, The Planning (Listed Buildings and Conservation Areas) Regulations 1990",general requirement,,
roof-plan-proposed,Roof plan - proposed,Drawing showing the proposed changes to the roof,,Plans and drawings,"Article 7, Town and Country Planning (Development Management Procedure) (England) Order 2015 (as amended);Section 3A, The Planning (Listed Buildings and Conservation Areas) Regulations 1990",general requirement,,
schedule-of-works,Schedule of Works,,,,"Section 3A, The Planning (Listed Buildings and Conservation Areas) Regulations 1990",required by Camden for all lbc applications,,
section-existing,Section - existing,"A plan that shows an existing vertical cut through a building or site, revealing the interior and exterior profiles",,Plans and drawings,"Article 7, Town and Country Planning (Development Management Procedure) (England) Order 2015 (as amended)",general requirement,,
section-proposed,Section - proposed,"A plan that shows the proposed vertical cut through a building or site, revealing the interior and exterior profiles",,Plans and drawings,"Article 7, Town and Country Planning (Development Management Procedure) (England) Order 2015 (as amended)",general requirement,,
site-plan,Site plan,A site plan that shows the proposed development in relation to the site boundaries and other existing buildings at a scale of 1:200 or 1:500 is advised,Block plan,Plans and drawings,"Article 7, Town and Country Planning (Development Management Procedure) (England) Order 2015 (as amended)","general requirement. For extraction of oil and gas needs to Needed to show site layout, access, and safety zones",,
site-restoration,Site restoration plan,,,,,Required under UK planning conditions to ensure post-production remediation,,2025-03-27
sketch-plan,Sketch Plan,Often a plan showing the position of the trees listed in an application,,,,,,2025-03-27
sci,Statement of community involvement (SCI),Sets out how residents and businesses have been involved in the design and development process of the proposals,,,"National Planning Policy Framework (NPPF), para 41",,,
structural-damage,Structural damage report,A report that relates specifically to the structural condition of the property if it has been affected by nearby trees,,,,"Mentioned in ""Trees - Addtional information"" section of tree works form",,
subsidence-report,Subsidence Report,"A report by an engineer or surveyor describing damage, vegetation, soil, roots, and repair proposals",,,,,,2025-03-27
sustainable-drainage-strategy,Sustainable Drainage Strategy (SuDS),,,,,,,2025-03-27
transport-assessment,Transport assessment or statement,A description and analysis of the existing transport conditions and details of the expected impact of the proposed development on the local transportation system,,,"NPPF (2026), DM2: Information requirements; NPPF (2026), Annex C: Information requirements; NPPF (2026), TR6: Assessing transport impacts",,,
travel-plan,Travel plan,"A package of actions to encourage safe, healthy and sustainable travel options for a new development",,,"NPPF (2026), DM2: Information requirements; NPPF (2026), Annex C: Information requirements; NPPF (2026), TR6: Assessing transport impacts",,,
ecology-assessment,Ecology Assessment,"A document to identify how protection of biodiversity and habitat quality will be achieved and enhanced, where possible.",Ecology Report,,"National Planning Policy Framework (NPPF), paras 187 - 195 National Planning Practice Guidance (NPPG), under the heading ‘Natural Environment’",Consolidated into biodiversity-survey-report following review,2025-03-27,2026-09-09
fire-statement,Fire statement,"A report that sets out how the proposal handles the fire safety aspects, including details of fire safety measures, access for firefighting, and evacuation plans.",Fire Safety Report,,"The Town and Country Planning (Development Management Procedure)(England) Order 2015 (as amended)",,2025-04-25,
habitat-baseline,Habitat baseline plan,,,,,,2025-04-25,
proposed-habitat-plan,Proposed habitat plan,,,,,,2025-04-25,
sustainability-statement,Sustainability statement,"A report that outlines how the development will meet sustainability objectives, including energy efficiency, water conservation, and waste management.",Sustainability report,,"National Planning Policy Framework (NPPF), paras 44 – 45 and 162 to 169",,2025-04-25,
bng-metric,Biodiveristy Net Gain Metric,"A metric used to assess the biodiversity value of a site before and after development, ensuring that the development results in a net gain for biodiversity.",BNG metric,,"The Environment Act 2021 National Planning Policy Framework (NPPF), paragraphs 187 - 195National Planning Practice Guidance (NPPG), under the heading ‘Natural Environment’",,2025-04-25,
site-investigation,Site investigation,"A report or investigation assessing ground conditions and potential contamination risks at the site, including whether further investigation, risk assessment or remediation is needed.",Site investigation report;Phase 1 investigation;Phase 2 site investigation,,City of York Council: Contaminated land and planning applications; Leeds City Council: Planning application validation requirements,Consolidated into land-contamination-assessment following review,2026-05-22,2026-09-09
construction-management-plan,Construction management plan,"A plan setting out how construction works will be managed to reduce impacts during development, including matters such as access, deliveries, working hours, noise, dust and parking.",Construction management;Construction environmental management plan;CEMP,,"Ipswich Borough Council: Local Validation List; Royal Borough of Kensington and Chelsea: Code of Construction Practice",,2026-05-22,
waste-management-plan,Waste management plan,"A plan setting out how waste from the proposed development will be stored, collected, managed or disposed of during construction or operation.",Site waste management plan;Site Waste Management Statement;Refuse storage plan;Service delivery plan,,"Redbridge Council: Validation requirements; Ipswich Borough Council: Local Validation List",,2026-05-22,
water-impact-assessment,Water impact assessment,"An assessment of how the proposed development may affect water bodies, water quality, water supply or related water environments.",Water impact;Water quality assessment;Water Framework Directive assessment,,"Kirklees Council: Validation Requirements for the Submission of Planning Applications",,2026-05-22,
viability-assessment,Viability assessment,"An assessment of development viability and the contributions a proposal can support, including the maximum possible contribution to affordable housing and other infrastructure",Financial viability assessment,,"National Planning Policy Framework (NPPF), August 2026; DM2: Information requirements; Annex C: Information requirements; DM5: Development viability",,2026-09-09,
town-centre-impact-assessment,Town centre impact assessment,"An assessment of how the proposed development would affect existing and planned investment in nearby town centres, their economic health and continued success, including effects on shops, trade and consumer choice.",,,"National Planning Policy Framework (NPPF), August 2026; DM2: Information requirements; Annex C: Information requirements; TC4: Assessing the impact of development on town centres",,2026-09-09,
telecommunications-report,Telecommunications supporting information,"Information supporting a proposed telecommunications installation, covering consultation outcomes, options for using existing masts or buildings, compliance with radiation exposure limits and potential interference with equipment or aviation services, where relevant.",Telecommunications report,,"National Planning Policy Framework (NPPF), August 2026; DM2: Information requirements; Annex C: Information requirements; CO2: Supporting information for telecommunications infrastructure proposals",,2026-09-09,
renewables-decommissioning-report,Renewable and low carbon energy and electricity network decommissioning proposals,"Proposals for removing renewable or low carbon energy installations or electricity network infrastructure at the end of a time-limited development, restoring the site and explaining how that work will be carried out.",,,"National Planning Policy Framework (NPPF), August 2026; DM2: Information requirements; Annex C: Information requirements; W3: Renewable and low carbon energy development and electricity network infrastructure",,2026-09-09,
recreation-facilities-assessment,"Sports, open space and recreation facilities assessment",An assessment establishing whether existing recreational land or facilities are surplus.,Recreation needs assessment,,"National Planning Policy Framework (NPPF), August 2026; DM2: Information requirements; Annex C: Information requirements; HC7: Development affecting existing recreational land and facilities",,2026-09-09,
coastal-change-assessment,Coastal change vulnerability assessment,"An assessment of coastal-change risks, shoreline-policy compatibility and the development’s wider benefits.",Coastal change assessment,,"National Planning Policy Framework (NPPF), August 2026; DM2: Information requirements; Annex C: Information requirements; F9: Development in Coastal Change Management Areas",,2026-09-09,
protected-landscape-assessment,Protected landscape assessment,"An assessment of development need, alternatives and environmental, landscape and recreation impacts in a protected landscape.",,,"National Planning Policy Framework (NPPF), August 2026; DM2: Information requirements; Annex C: Information requirements; N4: Protected Landscapes",,2026-09-09,
